Data Sample,Implicit Meaning,Explicit Meaning,Category,Hallucination Types,Idiom Phrases,Meaning of Idiom Phrases
"
অ আ ক খ হল বাংলা বর্ণমালার প্রথম চারটি অক্ষর, যা শিশুদের ভাষা শেখানোর প্রাথমিক ভিত্তি।
",,,,,,
"শহরের অনেক পরিবার অলক্ষ্মীর দশায় দিন কাটাচ্ছে, যেখানে তারা দৈনন্দিন প্রয়োজনীয় জিনিসও সংগ্রহ করতে পারছে না।",,,,,,
"রাজা রাবণের অতি দর্পে হত লঙ্কা, তার অহংকারের কারণে শেষ পর্যন্ত লঙ্কা পতিত হলো।",,,,,,
"তার কথায় পরিষ্কারভাবে অঞ্চল প্রভাব ফুটে উঠেছে, যা তার চিন্তা-ভাবনাকে প্রভাবিত করে।",,,,,,
"তাদের জীবন ছিল অলছ-তলছ, তারা আনন্দে মগ্ন ছিল এবং কোনো ধরনের দুশ্চিন্তা ছিল না।",,,বাগধারা,,অকালকুষ্মাণ্ড,অযোগ্য/অপদার্থ 
" শিক্ষক সবকিছু অক্ষরে অক্ষরে বলে দেন, যাতে ছাত্ররা ভুল না করে।",,,বাগধারা,,অক্কা পাওয়া ,মারা যাওয়া
"তার অন্নজল উঠেছে, অর্থাৎ তার জীবনের সময় বা আয়ু শেষ হয়ে এসেছে।",,,বাগধারা,,অক্ষরে অক্ষরে,যথাযথ
"মধুসূদন অগত্যা মেনে নিয়েছিলেন যে, তার কাছে আর কোনো পথ ছিল না, সে কারণে সে সঠিক সিদ্ধান্ত নিয়েছিল।",,,বাগধারা,,অদৃষ্টের পরিহাস,ভাগ্যের খেলা)
"সে একটি অশ্বমেধ যজ্ঞের মতো বিপুল আয়োজন করেছিল, যা সমস্ত শহরকে অবাক করে দিয়েছিল।",,,বাগধারা,,অগাধ জলের মাছ ,সুচতুর ব্যক্তি
"তার অজগর বৃত্তি দেখে সবাই অবাক হয়ে গিয়েছিল, কারণ সে অতি অলস ছিল এবং কাজ করতে চাইত না।",,,বাগধারা,,অষ্টরম্ভা, ফাঁকি 
"তার অবস্থা ছিল অকটবিকট, ছটফট করে কোনো সমাধান বের করতে পারছিল না।",,,বাগধারা,,অমৃতে অরুচি ,দামি জিনিসের প্রতি বিতৃষ্ণা 
"সে যখনই একা থাকত, তার অন্তর টিপুনি শুরু হয়ে যেত, গোপন ব্যথা তাকে কষ্ট দিত।",,,বাগধারা,,অল্পবিদ্যা ভয়ংকরী, সামান্য বিদ্যার অহংকার
"তিনি অকড়িয়া, অর্থাৎ তার হাতে কোনো অর্থ ছিল না এবং তিনি দারিদ্র্যের মধ্যে ছিলেন।",,,বাগধারা,,অনধিকার চর্চা ,অপরের বিষয়ে হস্তক্ষেপ
" অস্থির পঞ্চকের মতো সে কোনো সিদ্ধান্ত নিতে পারছিল না, কী করবে বুঝতে পারছিল না।",,,বাগধারা,,অন্ধকার দেখা,দিশেহারা হয়ে পড়া
"তার মনের মধ্যে অঙ্কুশ তাড়না ছিল, কারণ তার অন্তর্গত আঘাত তাকে শারীরিক এবং মানসিকভাবে আহত করছিল।",,,বাগধারা,,অন্ধের যষ্টি,একমাত্র অবলম্বন
" তিনি অক্ষয় বটের মতো প্রাচীন ব্যক্তি, যার কাছে অনেক পুরনো এবং মূল্যবান অভিজ্ঞতা আছে।",,,বাগধারা,,অকুল পাথার ,ভীষণ বিপদ 
